platform,profile_url,current_NAP_name,current_NAP_address,current_NAP_phone,target_NAP_name,target_NAP_address,target_NAP_phone,action,owner_email,notes
Google Business Profile,https://business.google.com (JetSet Travel Paphos),JetSet Travel,26A Agapinoros 8035 Paphos Cyprus,+357 99 478 073,JetSet Travel Cyprus,"26A Agapinoros, 8035 Paphos, Cyprus",+357 99 478 073,update,info@jetset.com.cy,"Ensure name reads 'JetSet Travel Cyprus' to match TravelAgency schema; verify both phone numbers (+357 99 478 073 / +357 99 310 993) are listed."
Bing Places for Business,https://www.bingplaces.com,unknown,unknown,unknown,JetSet Travel Cyprus,"26A Agapinoros, 8035 Paphos, Cyprus",+357 99 478 073,create,info@jetset.com.cy,"No detected Bing listing. Create from scratch; mirror the GBP exactly."
TripAdvisor (business listing),https://www.tripadvisor.com,unknown,unknown,unknown,JetSet Travel Cyprus,"26A Agapinoros, 8035 Paphos, Cyprus",+357 99 478 073,claim,info@jetset.com.cy,"Search 'JetSet Travel Paphos' first; if a listing exists, claim. Otherwise create."
Trustpilot (business profile),https://www.trustpilot.com,unknown,unknown,unknown,JetSet Travel Cyprus,"26A Agapinoros, 8035 Paphos, Cyprus",+357 99 478 073,claim,info@jetset.com.cy,"Claim free business profile; embed Trustpilot widget on homepage only AFTER cookie-consent (CLAUDE.md task #4)."
IATA Travel Agent Directory,https://www.iata.org/en/about/sp/agency-locator,JetSet Travel,unknown,unknown,JetSet Travel Cyprus,"26A Agapinoros, 8035 Paphos, Cyprus",+357 99 478 073,update,info@jetset.com.cy,"Cross-check the IATA-listed address matches the schema TravelAgency address byte-for-byte."
Facebook Business Page,https://www.facebook.com/JETSETCYPRUS,JETSETCYPRUS,unknown,unknown,JetSet Travel Cyprus,"26A Agapinoros, 8035 Paphos, Cyprus",+357 99 478 073,update,info@jetset.com.cy,"Page exists (linked from Footer.tsx). Ensure About section NAP matches GBP."
Instagram Business,https://www.instagram.com (search 'jetsettravelcyprus'),unknown,n/a,unknown,@jetsettravelcyprus,"26A Agapinoros, 8035 Paphos, Cyprus",+357 99 478 073,claim,info@jetset.com.cy,"Confirm handle; Instagram bio must show '26A Agapinoros, Paphos' + phone."
LinkedIn Company Page,https://www.linkedin.com (search 'JetSet Travel Cyprus'),unknown,unknown,unknown,JetSet Travel Cyprus,"26A Agapinoros, 8035 Paphos, Cyprus",+357 99 478 073,claim,info@jetset.com.cy,"Create/claim company page; B2B value for the corporate-travel landing page."
Yandex Maps,https://yandex.com/maps,unknown,unknown,unknown,JetSet Travel Cyprus,"26A Agapinoros, 8035 Paphos, Cyprus",+357 99 478 073,create,info@jetset.com.cy,"Russian-market discovery — pairs with /ru locale; mirrors NAP exactly."
2GIS Cyprus,https://2gis.com.cy,unknown,unknown,unknown,JetSet Travel Cyprus,"26A Agапinoros, 8035 Paphos, Cyprus",+357 99 478 073,create,info@jetset.com.cy,"Russian-language business directory popular among Cyprus's Russian-speaking community."
Cyprus Yellow Pages,https://www.cyprusyellowpages.com,unknown,unknown,unknown,JetSet Travel Cyprus,"26A Agapinoros, 8035 Paphos, Cyprus",+357 99 478 073,update,info@jetset.com.cy,"Search 'JetSet Travel Paphos'; if listing exists, claim and align NAP."
Apple Maps (Business Connect),https://mapsconnect.apple.com,unknown,unknown,unknown,JetSet Travel Cyprus,"26A Agapinoros, 8035 Paphos, Cyprus",+357 99 478 073,create,info@jetset.com.cy,"Apple Business Connect — under-utilised in Cyprus; quick win for iOS traffic."
Visit Pafos partner directory,https://www.visitpafos.org.cy,unknown,unknown,unknown,JetSet Travel Cyprus,"26A Agapinoros, 8035 Paphos, Cyprus",+357 99 478 073,create,info@jetset.com.cy,"Regional tourism board listing — overlaps with backlink target #2 in docs/backlink-targets.md."
Paphos Chamber of Commerce member listing,https://www.paphoschamber.org,unknown,unknown,unknown,JetSet Travel Cyprus,"26A Agapinoros, 8035 Paphos, Cyprus",+357 99 478 073,claim,info@jetset.com.cy,"Member directory — backlink + citation in one. See backlink target #5."
